167:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.92s	remaining: 746ms
168:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.94s	remaining: 723ms
169:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.96s	remaining: 700ms
170:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.99s	remaining: 676ms
171:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.01s	remaining: 653ms
172:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.03s	remaining: 629ms
173:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.05s	remaining: 606ms
174:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.08s	remaining: 582ms
175:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.1s	remaining: 559ms
176:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.12s	remaining: 536ms
177:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.14s	remaining: 512ms
178:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.17s	remaining: 489ms
179:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.19s	remaining: 466ms
180:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.21s	remaining: 442ms
181:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.23s	remaining: 419ms
182:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.26s	remaining: 395ms
183:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.28s	remaining: 372ms
184:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.3s	remaining: 349ms
185:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 4.32s	remaining: 325ms
186:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.34s	remaining: 302ms
187:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.36s	remaining: 278ms
188:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.38s	remaining: 255ms
189:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.4s	remaining: 232ms
190:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.42s	remaining: 208ms
191:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.44s	remaining: 185ms
192:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.46s	remaining: 162ms
193:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.48s	remaining: 139ms
194:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.5s	remaining: 116ms
195:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.53s	remaining: 92.4ms
196:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.55s	remaining: 69.3ms
197:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.57s	remaining: 46.2ms
198:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.6s	remaining: 23.1ms
199:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 4.62s	remaining: 0us
bestTest = 0.7
bestIteration = 26
Shrink model to first 27 iterations.
